1280 63960
106 82 25
101 56 39
108 59 39
115 85 25
89 2 95
108 61 45
125 58 51
117 60 50
113 40 66
79 36 62
92 37 70
117 79 21
88 92 6
84 18 85
88 98 8
124 63 47
93 22 68
105 11 97
109 58 48
116 57 45
105 77 13
111 4 94
118 86 19
93 7 98
88 61 29
103 54 36
124 88 17
120 68 39
90 92 13
95 79 31
116 1 97
88 55 44
100 3 100
97 78 31
87 38 66
85 1 96
90 38 64
89 85 8
99 29 76
76 5 87
93 74 20
104 92 15
85 21 83
85 71 31
88 67 32
85 47 51
80 84 8
100 83 27
108 35 57
91 68 31
85 69 24
117 1 100
87 68 31
95 12 97
93 60 31
115 27 69
96 56 40
108 23 80
92 25 83
106 21 86
97 61 40
83 63 39
120 52 50
84 88 11
106 25 67
97 55 52
93 46 63
109 32 76
103 55 53
87 96 8
108 5 99
115 36 65
101 49 54
110 58 37
105 39 57
112 80 28
122 97 6
95 85 23
114 61 46
103 9 96
95 6 93
94 35 67
102 39 57
112 22 77
97 41 52
98 5 90
109 42 65
103 87 8
109 81 25
105 76 24
121 87 21
82 80 12
88 67 28
113 30 78
105 57 48
105 86 10
96 73 24
116 29 76
84 37 59
82 87 15
80 13 84
74 32 60
121 46 56
102 23 73
96 45 45
122 17 88
98 85 11
88 66 32
111 6 93
122 18 89
95 94 5
76 22 70
116 33 72
106 30 62
102 81 28
115 32 73
109 42 64
111 78 31
100 10 97
101 36 71
89 34 70
119 73 31
91 28 69
84 11 81
111 78 20
108 39 58
101 47 62
103 19 71
97 15 89
88 28 63
104 24 72
88 72 23
103 9 88
87 47 44
87 33 61
109 62 47
111 97 13
108 19 73
101 67 38
86 74 31
93 40 53
109 47 49
91 65 30
100 29 67
78 50 44
97 98 4
124 13 95
85 1 96
75 34 60
117 93 9
99 48 43
107 77 18
93 48 59
102 49 41
93 64 26
76 61 32
113 29 78
111 39 61
97 88 2
114 26 73
90 17 78
93 71 20
110 13 94
98 69 37
99 26 81
122 49 57
118 67 33
95 7 92
101 58 46
117 49 59
74 53 38
78 65 27
93 62 45
82 17 80
73 43 47
111 25 78
99 3 91
91 79 24
95 29 75
84 32 67
112 26 83
82 16 79
93 25 65
90 54 50
109 28 80
101 73 19
99 56 44
121 65 43
104 93 1
102 86 19
123 80 26
105 41 62
105 51 53
90 71 21
114 78 23
72 29 63
109 83 26
111 19 76
70 66 24
105 41 69
120 45 56
112 15 90
105 3 87
95 11 88
82 53 43
95 46 55
74 30 61
96 57 46
91 18 87
89 51 57
95 48 51
85 66 28
103 96 6
97 8 90
75 22 68
107 6 89
88 76 26
110 57 47
84 36 54
99 79 14
78 92 5
85 57 33
90 49 46
111 45 58
86 82 10
94 66 26
103 77 14
100 45 53
78 79 17
93 20 87
78 64 34
118 93 14
117 93 6
85 67 32
100 83 8
93 3 90
118 54 52
90 78 21
116 64 41
110 40 64
87 59 47
79 55 38
96 62 40
100 4 94
80 60 30
103 75 24
117 95 5
108 96 9
111 91 8
109 30 76
75 2 92
81 62 36
102 49 57
116 9 98
90 92 8
110 31 79
108 98 2
95 61 38
106 79 28
91 48 46
94 25 81
111 36 67
90 8 85
97 73 36
96 58 44
111 45 59
92 62 32
114 39 70
110 96 9
110 58 45
103 81 25
86 99 5
103 83 8
97 64 35
118 44 62
83 29 72
105 59 41
79 71 21
82 92 4
118 9 94
111 92 16
94 6 84
94 29 70
92 58 47
103 17 79
90 16 79
104 87 22
95 95 7
105 3 97
89 21 82
95 64 26
102 90 13
75 36 56
81 86 14
112 62 41
97 42 64
113 76 25
95 42 60
96 61 30
117 13 97
120 11 94
78 54 43
87 16 83
96 8 96
87 59 47
108 57 52
85 40 63
120 59 42
106 2 89
103 94 14
110 94 3
86 76 25
117 10 92
98 44 63
118 11 98
129 79 31
107 80 16
103 81 24
95 90 6
116 2 98
91 50 55
84 12 82
87 90 15
96 23 71
126 18 92
92 62 36
107 96 3
91 62 33
97 38 72
100 67 43
82 38 57
102 67 32
121 94 13
96 61 42
90 1 98
113 94 6
87 45 53
102 96 10
88 28 78
88 21 87
119 13 88
85 27 66
102 100 2
90 7 86
92 22 72
82 74 17
95 53 53
76 79 12
87 79 18
95 4 100
86 96 9
87 23 74
125 70 40
99 88 11
96 84 25
101 84 9
90 76 23
103 33 70
119 28 82
95 8 88
99 1 96
84 37 59
95 63 27
112 22 73
102 70 31
90 21 80
88 96 7
123 35 71
97 79 29
84 5 92
95 60 50
128 46 64
87 50 40
120 48 61
107 6 95
110 89 10
104 56 43
102 59 41
110 29 62
115 71 25
90 77 13
88 18 73
106 2 88
90 8 83
89 75 17
92 97 8
90 54 47
99 38 71
96 48 43
105 27 66
96 20 84
101 12 85
91 43 50
123 61 46
110 31 77
87 91 16
111 96 12
78 61 30
91 74 33
100 67 35
99 91 3
88 35 62
87 95 2
108 15 86
99 16 91
95 13 81
82 35 66
80 75 19
96 59 42
85 21 76
120 54 50
86 75 27
89 30 70
101 48 61
92 35 63
85 86 13
104 38 59
86 31 61
120 78 27
95 24 86
73 49 41
112 96 11
107 100 5
116 32 78
115 55 41
104 79 23
114 58 47
122 99 4
98 3 91
92 80 21
106 69 25
89 85 13
101 10 84
76 83 9
104 25 66
120 68 34
92 61 38
117 29 71
105 19 74
83 43 53
83 66 28
94 74 26
89 61 34
102 43 51
97 25 83
84 20 81
102 48 59
112 83 14
114 87 14
109 24 69
80 11 81
100 98 5
114 55 45
84 28 63
101 69 24
92 63 35
94 59 40
85 5 96
71 51 40
107 21 75
112 12 94
110 50 42
116 4 95
81 42 51
79 84 9
94 38 53
107 25 72
114 14 90
123 75 29
118 32 73
111 11 95
97 61 44
110 18 86
88 27 66
110 55 46
75 54 39
107 82 24
98 87 20
93 75 35
111 21 80
109 44 66
106 5 99
121 87 18
104 41 69
122 59 47
100 89 13
99 54 48
118 74 29
92 22 71
107 83 26
88 65 37
84 64 37
72 71 20
83 4 90
91 65 34
80 15 81
88 76 23
101 22 73
108 86 22
77 47 50
124 81 25
107 93 14
98 46 64
90 14 92
128 50 59
93 20 75
105 50 43
95 33 69
98 59 31
115 43 57
90 79 22
75 12 83
102 40 56
117 20 90
104 94 15
105 38 65
92 3 90
99 28 67
94 56 38
93 90 18
111 94 9
120 13 95
72 77 13
99 66 33
111 37 55
96 49 43
119 66 36
101 36 66
122 54 55
112 26 84
87 75 20
108 72 34
94 40 58
89 43 48
94 22 86
98 20 79
94 8 90
85 29 75
91 40 53
91 90 17
93 30 66
96 81 29
124 84 22
112 55 38
85 16 86
99 46 49
103 62 32
84 7 94
81 80 18
111 45 63
87 59 44
105 56 51
98 48 53
115 27 79
114 53 47
86 87 19
115 88 16
92 73 25
93 35 57
99 51 57
89 84 25
90 37 73
110 81 18
127 95 14
118 57 50
125 8 99
114 79 27
84 95 2
110 94 6
77 20 71
90 53 40
83 12 83
85 49 49
122 17 91
91 64 43
110 42 61
91 94 14
95 29 67
82 19 82
93 11 89
114 98 6
104 50 55
78 71 24
107 58 46
76 34 56
85 20 81
118 50 51
119 88 13
88 10 97
93 32 67
97 52 49
79 15 78
108 84 14
110 3 89
76 37 54
124 40 67
115 72 30
95 40 61
88 56 47
123 23 84
118 11 96
74 64 28
81 8 91
113 93 12
106 94 16
88 56 40
74 60 31
117 10 89
91 39 67
92 28 80
87 49 50
100 36 66
113 13 97
85 96 6
74 36 56
109 26 67
111 86 11
108 4 100
95 95 8
86 82 11
108 64 38
91 38 57
112 88 5
120 87 19
87 22 84
90 2 96
90 31 78
116 11 98
108 92 11
86 46 58
90 96 3
93 62 32
114 69 27
93 64 38
91 10 92
109 40 50
119 24 81
86 99 3
86 44 56
99 60 50
112 62 37
79 87 5
86 17 83
83 65 37
112 95 6
112 95 4
102 57 50
87 55 46
92 53 43
92 56 46
106 98 6
88 9 94
76 22 73
113 13 96
112 89 15
113 48 49
118 18 88
91 76 31
93 40 56
111 17 78
118 15 93
93 15 84
96 79 20
85 63 27
109 39 56
98 13 78
100 81 10
97 32 70
101 9 85
128 40 70
101 20 82
109 90 13
115 91 7
96 85 9
85 82 9
115 77 28
96 80 28
126 73 35
75 63 30
99 76 33
107 44 46
106 38 62
90 83 7
106 60 36
76 71 24
125 99 11
97 48 52
104 18 72
102 16 76
76 55 41
117 39 61
91 68 41
89 59 49
96 89 18
89 96 5
104 62 29
105 13 82
90 81 18
93 6 87
91 83 23
87 77 28
83 60 39
109 90 14
115 14 96
106 95 6
81 54 43
97 4 99
85 39 66
121 72 33
102 25 67
97 77 25
100 32 68
97 59 32
100 63 32
99 38 57
90 92 11
109 53 44
85 94 5
